zip_code,City,investment_score,vacancy_rate,price_cut_rate,inv_chg_6m_pct,d_vacancy,d_price_cuts,d_inventory,distress_score
92602,Irvine,41.395348837209305,0.0837852206273259,0.3300970873786408,56.060606060606055,77.90697674418605,100.0,88.37209302325581,90.98837209302326
92603,Irvine,47.49999999999999,0.1096738681711848,0.2307692307692307,71.05263157894737,84.88372093023256,68.6046511627907,95.34883720930233,80.69767441860466
92637,Laguna Woods,30.523255813953487,0.1365236339255782,0.3114754098360656,22.61306532663316,89.53488372093024,96.51162790697676,46.51162790697674,79.76744186046513
92627,Costa Mesa,65.63953488372091,0.0428954423592493,0.2886597938144329,56.4516129032258,46.51162790697674,90.69767441860465,89.53488372093024,79.30232558139535
92612,Irvine,37.96511627906977,0.1136489863926687,0.314516129032258,19.23076923076923,88.37209302325581,97.67441860465115,43.02325581395349,78.95348837209302
92801,Anaheim,45.93023255813954,0.0531416400425985,0.2388059701492537,103.03030303030305,61.627906976744185,74.4186046511628,97.67441860465115,78.19767441860465
92662,Newport Beach,46.162790697674424,0.6325660699062233,,216.66666666666663,98.83720930232558,50.58139534883721,100.0,77.47093023255813
92692,Mission Viejo,29.70930232558139,0.0519184652278177,0.3076923076923077,31.092436974789916,56.97674418604651,95.34883720930233,67.44186046511628,77.38372093023257
92649,Huntington Beach,54.70930232558139,0.0389334430050037,0.3032786885245901,50.617283950617285,40.69767441860465,91.86046511627907,84.88372093023256,76.97674418604652
92705,North Tustin,47.26744186046511,0.0539516655780535,0.2736842105263158,31.944444444444443,62.7906976744186,88.37209302325581,68.6046511627907,76.04651162790698
92647,Huntington Beach,55.639534883720934,0.0528491567623432,0.2692307692307692,36.8421052631579,59.30232558139535,84.88372093023256,73.25581395348837,75.0
92656,Aliso Viejo,44.47674418604652,0.0563506707225851,0.3265306122448979,18.07228915662651,65.11627906976744,98.83720930232558,41.86046511627907,73.31395348837209
92618,Irvine,44.01162790697675,0.1067595138827286,0.2852233676975945,17.338709677419352,83.72093023255815,89.53488372093024,38.372093023255815,72.73255813953489
92694,Ladera Ranch,40.58139534883721,0.0383081989946264,0.2688172043010752,44.18604651162789,39.53488372093023,83.72093023255815,77.90697674418605,70.93023255813954
92886,Yorba Linda,29.127906976744185,0.052288363745139,0.2330827067669172,41.48936170212767,58.139534883720934,70.93023255813954,76.74418604651163,69.47674418604652
92660,Newport Beach,45.697674418604656,0.1036616483796886,0.2631578947368421,16.326530612244895,82.55813953488372,81.3953488372093,36.04651162790697,68.0813953488372
92805,Anaheim,50.174418604651166,0.0779748529903905,0.2666666666666666,9.756097560975618,76.74418604651163,82.55813953488372,29.069767441860467,65.05813953488372
90740,Seal Beach,40.52325581395349,0.0991468757205441,0.1984732824427481,65.82278481012658,81.3953488372093,36.04651162790697,94.18604651162791,64.82558139534883
92614,Irvine,45.697674418604656,0.0433511095819714,0.2156862745098039,45.71428571428571,48.837209302325576,59.30232558139535,81.3953488372093,63.31395348837209
92620,Irvine,37.44186046511628,0.0604592668498765,0.2517006802721088,17.599999999999994,67.44186046511628,76.74418604651163,39.53488372093023,63.25581395348837
90742,Huntington Beach,57.67441860465116,0.6558441558441559,,,100.0,50.58139534883721,50.58139534883721,62.93604651162791
92630,Lake Forest,36.62790697674418,0.0511205382011398,0.2256637168141592,26.96629213483146,55.81395348837209,66.27906976744185,59.30232558139535,61.56976744186046
92832,Fullerton,52.76162790697674,0.0654528144710222,0.2727272727272727,0.0,70.93023255813954,87.20930232558139,14.534883720930234,61.33720930232559
92673,San Clemente,32.06395348837209,0.0468442325629598,0.2253521126760563,29.0909090909091,50.58139534883721,64.53488372093024,65.11627906976744,61.220930232558146
92604,Irvine,41.97674418604652,0.0222886916248552,0.3061224489795918,25.64102564102564,6.976744186046512,94.18604651162791,56.97674418604651,61.22093023255814
