rank,zip_code,City,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,core_service_area,str_status,str_notes,mello_roos_signal,wildfire_notes
12,92802,Anaheim,60.8139534883721,0.622026504239032,0.047987488682196,0.3849355953502985,1748.0,81538.0,0.257254286345017,0.3068678046843985,956144.0757314162,2.032708307993558,17.64843231470905,0.2,-9.090909090909093,False,,,,
13,92704,Santa Ana,59.82558139534884,0.4959108925793989,0.0329135517535497,0.3015495215427211,1897.0,89654.0,0.2539094742008165,0.2160056657223796,901457.2571806436,0.8593289162275974,17.09478752779723,0.1910112359550561,39.0625,False,,,,
14,92626,Costa Mesa,59.651162790697676,0.5805933826955937,0.0539532957075545,0.3288135593220339,2269.0,105281.0,0.2586221635432794,0.2729867118523142,1459332.3443939562,3.3156140799762257,22.791904434137457,0.1486486486486486,51.020408163265294,True,Banned,Listed among OC cities prohibiting STR,Low,Low
15,92672,San Clemente,59.50581395348838,,,,,,,,1737677.1670549903,3.377513844092972,20.819441481942658,0.1058823529411764,-3.409090909090906,True,Permitted (caps + min. stay),Permit caps and minimum-stay rules in effect,Moderate (Talega district; some bonds maturing),Low-Moderate (some canyon edges)
16,92655,,59.38953488372093,0.6992031872509961,0.0908366533864541,0.2224251278305332,1309.0,61991.0,0.2533916213643916,0.2341880341880342,1061120.813921476,3.7255189574302072,19.967601982109716,,,False,,,,
17,92703,Santa Ana,59.24418604651162,0.5404466134279798,0.0312037858621709,0.2032840957980783,1738.0,77759.0,0.2682133257886547,0.2624161992064578,828745.4854034156,0.8736245650563079,15.154539204429973,0.1388888888888889,-2.7027027027026973,False,,,,
18,92865,Orange,58.77906976744186,0.336245166833739,0.0227695832736646,0.1530383646037524,2102.0,120365.0,0.20956258048436,0.1712095400340715,1072950.2916872876,2.399832385683509,22.508292213051995,0.2592592592592592,8.000000000000007,False,,,,
19,92606,Irvine,58.75000000000001,0.6384888101041436,0.0601595391092399,0.2694116417598495,2555.0,128580.0,0.2384507699486701,0.2141245878882526,1481871.0282419077,-0.01906945340800492,35.75911910880627,0.25,-11.111111111111116,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
20,92804,Anaheim,58.48837209302325,0.5778085089075083,0.0321727812576262,0.3705717775938842,1757.0,75847.0,0.2779806716152254,0.373011403632268,944201.2841266816,1.1782173015238095,16.97229301777632,0.1714285714285714,9.375,False,,,,
21,92833,Fullerton,58.430232558139544,0.4289111084014144,0.0340812096085843,0.2145510288308472,1844.0,107241.0,0.2063389934819705,0.3142857142857143,994290.5605463302,0.4905358323580078,14.264003232416256,0.1774193548387097,6.896551724137923,False,,,,
22,90631,La Habra,57.96511627906977,0.3995244290905828,0.0310018394723854,0.2415143603133159,1748.0,98009.0,0.2140211613219194,0.2272880404267265,942608.2798241,0.4825305502766275,15.050014605546513,0.2347826086956521,25.0,False,,,,
23,90742,Huntington Beach,57.67441860465116,0.5454545454545454,0.6558441558441559,0.2607843137254902,2143.0,112600.0,0.2283836589698046,0.0,2189271.206940328,2.7010776886084553,4.304933199213146,,,True,Permitted (restricted),Owner-occupied allowed in Zones 1-2; unhosted only in Sunset Beach,Low,Low
24,92867,Orange,56.918604651162795,0.3300007574036204,0.0264333863515867,0.1753984651711924,1915.0,116618.0,0.1970536280848582,0.2722056460867569,1251854.8072870043,0.957517622282511,18.97202340264883,0.1506849315068493,46.0,False,,,,
25,92869,Orange,56.56976744186046,0.2502391928329129,0.0230494911716099,0.1454684577452814,2147.0,137440.0,0.1874563445867287,0.2193256864789711,1215800.76235553,1.6010321167172936,21.947376239463633,0.2222222222222222,3.2786885245901676,False,,,,
26,92861,Villa Park,56.366279069767444,0.0981308411214953,0.0160955347871235,0.003065917220235,-666666666.0,189306.0,-42259.6219454217,0.1904761904761904,2326705.0032542753,2.7790430642699926,24.128451756422443,,-11.111111111111116,False,,,,
27,92663,Newport Beach,55.98837209302326,0.5242010839095497,0.1691272659316015,0.1718350383631713,2409.0,123333.0,0.2343898226751964,0.1805704099821747,2732545.0407662187,11.000418278823766,29.363137460988355,0.1702127659574468,44.61538461538461,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
28,92647,Huntington Beach,55.639534883720934,0.5686099497345798,0.0528491567623432,0.3117972514724255,2220.0,106555.0,0.250011731030923,0.2411599471249174,1259620.735637075,2.4002520150154805,20.785811983487278,0.2692307692307692,36.8421052631579,True,Permitted (restricted),Owner-occupied allowed in Zones 1-2; unhosted only in Sunset Beach,Low,Low
29,92806,Anaheim,55.58139534883722,0.5717928286852589,0.0530677290836653,0.2868492736077482,1928.0,90512.0,0.2556125154675623,0.2962653288740245,1005930.9999527883,2.1679293693949386,15.888954023228408,0.0714285714285714,179.99999999999997,False,,,,
30,92821,Brea,55.29069767441861,0.417178332651112,0.0401828353117751,0.1970223650554207,2067.0,114444.0,0.2167348222711544,0.2130825838103025,1119324.4290990026,0.12034210752027708,15.616251232600241,0.1612903225806451,51.21951219512195,False,,,,
31,92649,Huntington Beach,54.70930232558139,0.4334087326067585,0.0389334430050037,0.2672032724153856,2288.0,116055.0,0.2365774848132351,0.2456112604776213,1386393.1729864136,4.148328657596578,20.882281366691082,0.3032786885245901,50.617283950617285,True,Permitted (restricted),Owner-occupied allowed in Zones 1-2; unhosted only in Sunset Beach,Low,Low
32,92831,Fullerton,54.41860465116278,0.5911875589066918,0.0625981778196669,0.2914480005913223,1884.0,85220.0,0.2652898380661816,0.2999867144944865,1070173.2845653584,0.846417734048388,17.64913857214827,0.1666666666666666,4.347826086956519,False,,,,
33,92868,Orange,53.02325581395349,0.6589657649030405,0.0748144601388556,0.2273081634925938,2121.0,87868.0,0.2896617653753357,0.2608537693006358,913419.7084330444,1.6918544038012406,16.560740070986245,0.2222222222222222,-6.896551724137934,False,,,,
34,92832,Fullerton,52.76162790697674,0.641080566464358,0.0654528144710222,0.236903831118061,1864.0,89722.0,0.2493034038474398,0.2628550213476889,899875.7462223396,0.565475529245596,14.168098855463773,0.2727272727272727,0.0,False,,,,
35,92841,Garden Grove,52.03488372093023,0.4529068555949156,0.0217753698687226,0.2043438360354848,1746.0,72243.0,0.2900211785224866,0.3025074764205199,1032279.032208582,1.6144564357625457,20.116418301485915,0.1388888888888889,63.63636363636365,False,,,,
36,92844,Garden Grove,51.86046511627907,0.5842613214550854,0.0424647364513734,0.3217490385984902,1886.0,71354.0,0.3171791350169577,0.3623888182973316,947325.0896665624,2.935165860314237,20.852149038246594,0.2272727272727272,22.222222222222232,False,,,,
